# YCH4, LaminarViscosity
9.824311733245849609e-01,1.105840874515706673e-05
9.823496937751770020e-01,1.105872979678679258e-05
9.822682142257690430e-01,1.105904993892181665e-05
9.821867346763610840e-01,1.105937099055154249e-05
9.821052551269531250e-01,1.105969204218126833e-05
9.820237755775451660e-01,1.106001218431629241e-05
9.819422960281372070e-01,1.106033323594601825e-05
9.818608164787292480e-01,1.106065337808104232e-05
9.817793369293212891e-01,1.106097442971076816e-05
9.816978573799133301e-01,1.106129548134049401e-05
9.816163778305053711e-01,1.106161562347551808e-05
9.815348982810974121e-01,1.106193667510524392e-05
9.814534783363342285e-01,1.106225772673496976e-05
9.813719987869262695e-01,1.106257786886999384e-05
9.812905192375183105e-01,1.106289892049971968e-05
9.812090396881103516e-01,1.106321997212944552e-05
9.811275601387023926e-01,1.106354011426446959e-05
9.810460805892944336e-01,1.106386116589419544e-05
9.809646010398864746e-01,1.106418130802921951e-05
9.808831214904785156e-01,1.106450235965894535e-05
9.808016419410705566e-01,1.106482341128867120e-05
9.807201623916625977e-01,1.106514355342369527e-05
9.806386828422546387e-01,1.106546460505342111e-05
9.805572032928466797e-01,1.106578565668314695e-05
9.804757237434387207e-01,1.106610579881817102e-05
9.803942441940307617e-01,1.106642685044789687e-05
9.803127646446228027e-01,1.106674790207762271e-05
9.802312850952148438e-01,1.106706804421264678e-05
9.801498055458068848e-01,1.106738909584237263e-05
9.800683259963989258e-01,1.106771014747209847e-05
9.799868464469909668e-01,1.106803028960712254e-05
9.799053668975830078e-01,1.106835134123684838e-05
9.798238873481750488e-01,1.106867148337187245e-05
9.797424077987670898e-01,1.106899253500159830e-05
9.796609282493591309e-01,1.106931358663132414e-05
9.795795083045959473e-01,1.106963372876634821e-05
9.794980287551879883e-01,1.106995478039607406e-05
9.794165492057800293e-01,1.107027583202579990e-05
9.793350696563720703e-01,1.107059597416082397e-05
9.792535901069641113e-01,1.107091702579054981e-05
9.791721105575561523e-01,1.107123807742027566e-05
9.790906310081481934e-01,1.107155821955529973e-05
9.790091514587402344e-01,1.107187927118502557e-05
9.789276719093322754e-01,1.107219941332004964e-05
9.788461923599243164e-01,1.107252046494977549e-05
9.787647128105163574e-01,1.107284151657950133e-05
9.786832332611083984e-01,1.107316165871452540e-05
9.786017537117004395e-01,1.107348271034425125e-05
9.785202741622924805e-01,1.107380376197397709e-05
9.784387946128845215e-01,1.107412390410900116e-05
9.783573150634765625e-01,1.107444495573872700e-05
9.782758355140686035e-01,1.107476600736845285e-05
9.781943559646606445e-01,1.107508614950347692e-05
9.781128764152526855e-01,1.107540720113320276e-05
9.780313968658447266e-01,1.107572734326822683e-05
9.779499173164367676e-01,1.107604839489795268e-05
9.777865409851074219e-01,1.107669595512561500e-05
9.775207042694091797e-01,1.107775278796907514e-05
9.772548675537109375e-01,1.107880871131783351e-05
9.769890904426574707e-01,1.107986554416129366e-05
9.767232537269592285e-01,1.108092146751005203e-05
9.764574170112609863e-01,1.108197830035351217e-05
9.761915802955627441e-01,1.108303422370227054e-05
9.759257435798645020e-01,1.108409105654573068e-05
9.756599664688110352e-01,1.108514697989448905e-05
9.753941297531127930e-01,1.108620381273794919e-05
9.751282930374145508e-01,1.108725973608670756e-05
9.748624563217163086e-01,1.108831656893016770e-05
9.745966792106628418e-01,1.108937249227892607e-05
9.743308424949645996e-01,1.109042932512238622e-05
