# YCH4, LaminarViscosity
9.824311733245849609e-01,1.106960462493589148e-05
9.823496937751770020e-01,1.106997660826891661e-05
9.822682142257690430e-01,1.107034950109664351e-05
9.821867346763610840e-01,1.107072148442966864e-05
9.821052551269531250e-01,1.107109346776269376e-05
9.820237755775451660e-01,1.107146636059042066e-05
9.819422960281372070e-01,1.107183834392344579e-05
9.818608164787292480e-01,1.107221032725647092e-05
9.817793369293212891e-01,1.107258322008419782e-05
9.816978573799133301e-01,1.107295520341722295e-05
9.816163778305053711e-01,1.107332809624494985e-05
9.815348982810974121e-01,1.107370007957797498e-05
9.814534783363342285e-01,1.107407206291100010e-05
9.813719987869262695e-01,1.107444495573872700e-05
9.812905192375183105e-01,1.107481693907175213e-05
9.812090396881103516e-01,1.107518892240477726e-05
9.811275601387023926e-01,1.107556181523250416e-05
9.810460805892944336e-01,1.107593379856552929e-05
9.809646010398864746e-01,1.107630578189855441e-05
9.808831214904785156e-01,1.107667867472628132e-05
9.808016419410705566e-01,1.107705065805930644e-05
9.807201623916625977e-01,1.107742264139233157e-05
9.806386828422546387e-01,1.107779553422005847e-05
9.805572032928466797e-01,1.107816751755308360e-05
9.804757237434387207e-01,1.107854041038081050e-05
9.803942441940307617e-01,1.107891239371383563e-05
9.803127646446228027e-01,1.107928437704686075e-05
9.802312850952148438e-01,1.107965726987458766e-05
9.801498055458068848e-01,1.108002925320761278e-05
9.800683259963989258e-01,1.108040123654063791e-05
9.799868464469909668e-01,1.108077412936836481e-05
9.799053668975830078e-01,1.108114611270138994e-05
9.798238873481750488e-01,1.108151809603441507e-05
9.797424077987670898e-01,1.108189098886214197e-05
9.796609282493591309e-01,1.108226297219516709e-05
9.795795083045959473e-01,1.108263495552819222e-05
9.794980287551879883e-01,1.108300784835591912e-05
9.794165492057800293e-01,1.108337983168894425e-05
9.793350696563720703e-01,1.108375272451667115e-05
9.792535901069641113e-01,1.108412470784969628e-05
9.791721105575561523e-01,1.108449669118272141e-05
9.790906310081481934e-01,1.108486958401044831e-05
9.790091514587402344e-01,1.108524156734347343e-05
9.789276719093322754e-01,1.108561355067649856e-05
9.788461923599243164e-01,1.108598644350422546e-05
9.787647128105163574e-01,1.108635842683725059e-05
9.786832332611083984e-01,1.108673041017027572e-05
9.786017537117004395e-01,1.108710330299800262e-05
9.785202741622924805e-01,1.108747528633102775e-05
9.784387946128845215e-01,1.108784726966405287e-05
9.783573150634765625e-01,1.108822016249177977e-05
9.782758355140686035e-01,1.108859214582480490e-05
9.781943559646606445e-01,1.108896503865253180e-05
9.781128764152526855e-01,1.108933702198555693e-05
9.780313968658447266e-01,1.108970900531858206e-05
9.779499173164367676e-01,1.109008189814630896e-05
9.777865409851074219e-01,1.109083223127527162e-05
9.775207042694091797e-01,1.109205641114385799e-05
9.772548675537109375e-01,1.109327968151774257e-05
9.769890904426574707e-01,1.109450386138632894e-05
9.767232537269592285e-01,1.109572713176021352e-05
9.764574170112609863e-01,1.109695131162879989e-05
9.761915802955627441e-01,1.109817458200268447e-05
9.759257435798645020e-01,1.109939876187127084e-05
9.756599664688110352e-01,1.110062203224515542e-05
9.753941297531127930e-01,1.110184621211374179e-05
9.751282930374145508e-01,1.110306948248762637e-05
9.748624563217163086e-01,1.110429366235621274e-05
9.745966792106628418e-01,1.110551693273009732e-05
9.743308424949645996e-01,1.110674111259868369e-05
9.740650057792663574e-01,1.110796438297256827e-05
9.737991690635681152e-01,1.110918856284115463e-05
9.735333919525146484e-01,1.111041183321503922e-05
9.732675552368164062e-01,1.111163601308362558e-05
9.730017185211181641e-01,1.111285928345751017e-05
9.727358818054199219e-01,1.111408346332609653e-05
9.724700450897216797e-01,1.111530673369998112e-05
9.722042679786682129e-01,1.111653091356856748e-05
9.719384312629699707e-01,1.111775418394245207e-05
9.716725945472717285e-01,1.111897836381103843e-05
9.714067578315734863e-01,1.112020163418492302e-05
9.711409807205200195e-01,1.112142581405350938e-05
9.708751440048217773e-01,1.112264908442739397e-05
9.706093072891235352e-01,1.112387326429598033e-05
9.703434705734252930e-01,1.112509744416456670e-05
9.700776934623718262e-01,1.112632071453845128e-05
9.698118567466735840e-01,1.112754489440703765e-05
9.695460200309753418e-01,1.112876816478092223e-05
9.692801833152770996e-01,1.112999234464950860e-05
9.690143465995788574e-01,1.113121561502339318e-05
9.687485694885253906e-01,1.113243979489197955e-05
9.684827327728271484e-01,1.113366306526586413e-05
9.682168960571289062e-01,1.113488724513445050e-05
9.679510593414306641e-01,1.113611051550833508e-05
9.676852822303771973e-01,1.113733469537692145e-05
9.674194455146789551e-01,1.113855796575080603e-05
9.671536087989807129e-01,1.113978214561939240e-05
9.668877720832824707e-01,1.114100541599327698e-05
9.666219949722290039e-01,1.114222959586186334e-05
9.663561582565307617e-01,1.114345286623574793e-05
9.660903215408325195e-01,1.114467704610433429e-05
