Temperature,YCH4,viscosityWilke,viscosityDavidson
293.15,0.982431,1.10696e-05,1.10584e-05
293.15,0.98235,1.107e-05,1.10587e-05
293.15,0.982268,1.10703e-05,1.1059e-05
293.15,0.982187,1.10707e-05,1.10594e-05
293.15,0.982105,1.10711e-05,1.10597e-05
293.15,0.982024,1.10715e-05,1.106e-05
293.15,0.981942,1.10718e-05,1.10603e-05
293.15,0.981861,1.10722e-05,1.10606e-05
293.15,0.981779,1.10726e-05,1.1061e-05
293.15,0.981698,1.1073e-05,1.10613e-05
293.15,0.981616,1.10733e-05,1.10616e-05
293.15,0.981535,1.10737e-05,1.10619e-05
293.15,0.981453,1.10741e-05,1.10623e-05
293.15,0.981372,1.10744e-05,1.10626e-05
293.15,0.981291,1.10748e-05,1.10629e-05
293.15,0.981209,1.10752e-05,1.10632e-05
293.15,0.981128,1.10756e-05,1.10635e-05
293.15,0.981046,1.10759e-05,1.10639e-05
293.15,0.980965,1.10763e-05,1.10642e-05
293.15,0.980883,1.10767e-05,1.10645e-05
293.15,0.980802,1.1077e-05,1.10648e-05
293.15,0.98072,1.10774e-05,1.10651e-05
293.15,0.980639,1.10778e-05,1.10655e-05
293.15,0.980557,1.10782e-05,1.10658e-05
293.15,0.980476,1.10785e-05,1.10661e-05
293.15,0.980394,1.10789e-05,1.10664e-05
293.15,0.980313,1.10793e-05,1.10667e-05
293.15,0.980231,1.10796e-05,1.10671e-05
293.15,0.98015,1.108e-05,1.10674e-05
293.15,0.980068,1.10804e-05,1.10677e-05
293.15,0.979987,1.10808e-05,1.1068e-05
293.15,0.979905,1.10811e-05,1.10683e-05
293.15,0.979824,1.10815e-05,1.10687e-05
293.15,0.979742,1.10819e-05,1.1069e-05
293.15,0.979661,1.10823e-05,1.10693e-05
293.15,0.97958,1.10826e-05,1.10696e-05
293.15,0.979498,1.1083e-05,1.10699e-05
293.15,0.979417,1.10834e-05,1.10703e-05
293.15,0.979335,1.10837e-05,1.10706e-05
293.15,0.979254,1.10841e-05,1.10709e-05
293.15,0.979172,1.10845e-05,1.10712e-05
293.15,0.979091,1.10849e-05,1.10716e-05
293.15,0.979009,1.10852e-05,1.10719e-05
293.15,0.978928,1.10856e-05,1.10722e-05
293.15,0.978846,1.1086e-05,1.10725e-05
293.15,0.978765,1.10864e-05,1.10728e-05
293.15,0.978683,1.10867e-05,1.10732e-05
293.15,0.978602,1.10871e-05,1.10735e-05
293.15,0.97852,1.10875e-05,1.10738e-05
293.15,0.978439,1.10878e-05,1.10741e-05
293.15,0.978357,1.10882e-05,1.10744e-05
293.15,0.978276,1.10886e-05,1.10748e-05
293.15,0.978194,1.1089e-05,1.10751e-05
293.15,0.978113,1.10893e-05,1.10754e-05
293.15,0.978031,1.10897e-05,1.10757e-05
293.15,0.97795,1.10901e-05,1.1076e-05
293.15,0.977787,1.10908e-05,1.10767e-05
293.15,0.977521,1.1092e-05,1.10777e-05
293.15,0.977255,1.10933e-05,1.10788e-05
293.15,0.976989,1.10945e-05,1.10798e-05
293.15,0.976723,1.10957e-05,1.10809e-05
293.15,0.976457,1.10969e-05,1.10819e-05
293.15,0.976192,1.10981e-05,1.1083e-05
293.15,0.975926,1.10994e-05,1.1084e-05
293.15,0.97566,1.11006e-05,1.10851e-05
293.15,0.975394,1.11018e-05,1.10861e-05
293.15,0.975128,1.1103e-05,1.10872e-05
293.15,0.974862,1.11042e-05,1.10882e-05
293.15,0.974597,1.11054e-05,1.10893e-05
293.15,0.974331,1.11067e-05,1.10904e-05
293.15,0.974065,1.11079e-05,1.10914e-05
293.15,0.973799,1.11091e-05,1.10925e-05
293.15,0.973533,1.11103e-05,1.10935e-05
293.15,0.973268,1.11116e-05,1.10946e-05
293.15,0.973002,1.11128e-05,1.10956e-05
293.15,0.972736,1.1114e-05,1.10967e-05
293.15,0.97247,1.11152e-05,1.10977e-05
293.15,0.972204,1.11164e-05,1.10988e-05
293.15,0.971938,1.11177e-05,1.10998e-05
293.15,0.971673,1.11189e-05,1.11009e-05
293.15,0.971407,1.11201e-05,1.11019e-05
293.15,0.971141,1.11213e-05,1.1103e-05
293.15,0.970875,1.11226e-05,1.11041e-05
293.15,0.970609,1.11238e-05,1.11051e-05
293.15,0.970343,1.1125e-05,1.11062e-05
293.15,0.970078,1.11262e-05,1.11072e-05
293.15,0.969812,1.11274e-05,1.11083e-05
293.15,0.969546,1.11287e-05,1.11093e-05
293.15,0.96928,1.11299e-05,1.11104e-05
293.15,0.969014,1.11311e-05,1.11115e-05
293.15,0.968749,1.11323e-05,1.11125e-05
293.15,0.968483,1.11336e-05,1.11136e-05
293.15,0.968217,1.11348e-05,1.11146e-05
293.15,0.967951,1.1136e-05,1.11157e-05
293.15,0.967685,1.11373e-05,1.11167e-05
293.15,0.967419,1.11385e-05,1.11178e-05
293.15,0.967154,1.11397e-05,1.11189e-05
293.15,0.966888,1.11409e-05,1.11199e-05
293.15,0.966622,1.11422e-05,1.1121e-05
293.15,0.966356,1.11434e-05,1.1122e-05
293.15,0.96609,1.11446e-05,1.11231e-05
293.15,0.965824,1.11458e-05,1.11242e-05
293.15,0.965559,1.11471e-05,1.11252e-05
293.15,0.965293,1.11483e-05,1.11263e-05
293.15,0.965027,1.11495e-05,1.11274e-05
293.15,0.964761,1.11508e-05,1.11284e-05
293.15,0.964495,1.1152e-05,1.11295e-05
293.15,0.96423,1.11532e-05,1.11305e-05
293.15,0.963964,1.11544e-05,1.11316e-05
293.15,0.963698,1.11557e-05,1.11327e-05
293.15,0.963432,1.11569e-05,1.11337e-05
293.15,0.963166,1.11581e-05,1.11348e-05
293.15,0.962688,1.11603e-05,1.11367e-05
293.15,0.962184,1.11627e-05,1.11387e-05
293.15,0.96168,1.1165e-05,1.11408e-05
293.15,0.961175,1.11674e-05,1.11428e-05
293.15,0.960671,1.11697e-05,1.11448e-05
293.15,0.960167,1.1172e-05,1.11468e-05
293.15,0.959662,1.11744e-05,1.11488e-05
293.15,0.959158,1.11767e-05,1.11509e-05
293.15,0.958654,1.11791e-05,1.11529e-05
293.15,0.958149,1.11814e-05,1.11549e-05
293.15,0.957645,1.11838e-05,1.1157e-05
293.15,0.957141,1.11861e-05,1.1159e-05
293.15,0.956636,1.11884e-05,1.1161e-05
293.15,0.956132,1.11908e-05,1.11631e-05
293.15,0.955628,1.11931e-05,1.11651e-05
293.15,0.955123,1.11955e-05,1.11671e-05
293.15,0.954619,1.11978e-05,1.11692e-05
293.15,0.954115,1.12002e-05,1.11712e-05
293.15,0.95361,1.12025e-05,1.11732e-05
293.15,0.953106,1.12049e-05,1.11753e-05
293.15,0.952602,1.12072e-05,1.11773e-05
293.15,0.952097,1.12096e-05,1.11793e-05
293.15,0.951593,1.1212e-05,1.11814e-05
293.15,0.951089,1.12143e-05,1.11834e-05
293.15,0.950584,1.12167e-05,1.11855e-05
293.15,0.95008,1.1219e-05,1.11875e-05
293.15,0.949576,1.12214e-05,1.11896e-05
293.15,0.949071,1.12238e-05,1.11916e-05
293.15,0.948567,1.12261e-05,1.11937e-05
293.15,0.948062,1.12285e-05,1.11957e-05
293.15,0.947558,1.12308e-05,1.11978e-05
293.15,0.947054,1.12332e-05,1.11998e-05
293.15,0.946549,1.12356e-05,1.12019e-05
293.15,0.946045,1.12379e-05,1.12039e-05
293.15,0.945541,1.12403e-05,1.1206e-05
293.15,0.945036,1.12427e-05,1.1208e-05
293.15,0.944532,1.1245e-05,1.12101e-05
293.15,0.944028,1.12474e-05,1.12121e-05
293.15,0.943523,1.12498e-05,1.12142e-05
293.15,0.943019,1.12521e-05,1.12163e-05
293.15,0.942515,1.12545e-05,1.12183e-05
293.15,0.94201,1.12569e-05,1.12204e-05
293.15,0.941506,1.12593e-05,1.12224e-05
293.15,0.941002,1.12616e-05,1.12245e-05
293.15,0.940497,1.1264e-05,1.12266e-05
293.15,0.939993,1.12664e-05,1.12286e-05
293.15,0.939489,1.12688e-05,1.12307e-05
293.15,0.938984,1.12711e-05,1.12328e-05
293.15,0.93848,1.12735e-05,1.12348e-05
293.15,0.937976,1.12759e-05,1.12369e-05
293.15,0.937471,1.12783e-05,1.1239e-05
293.15,0.936967,1.12807e-05,1.12411e-05
293.15,0.936463,1.12831e-05,1.12431e-05
293.15,0.935958,1.12854e-05,1.12452e-05
293.15,0.935454,1.12878e-05,1.12473e-05
293.15,0.934846,1.12907e-05,1.12498e-05
293.15,0.93403,1.12946e-05,1.12531e-05
293.15,0.933215,1.12984e-05,1.12565e-05
293.15,0.932399,1.13023e-05,1.12599e-05
293.15,0.931583,1.13062e-05,1.12632e-05
293.15,0.930768,1.131e-05,1.12666e-05
293.15,0.929952,1.13139e-05,1.127e-05
293.15,0.929137,1.13178e-05,1.12734e-05
293.15,0.928321,1.13217e-05,1.12767e-05
293.15,0.927505,1.13255e-05,1.12801e-05
293.15,0.92669,1.13294e-05,1.12835e-05
293.15,0.925874,1.13333e-05,1.12869e-05
293.15,0.925059,1.13372e-05,1.12903e-05
293.15,0.924243,1.13411e-05,1.12937e-05
293.15,0.923427,1.1345e-05,1.12971e-05
293.15,0.922612,1.13489e-05,1.13005e-05
293.15,0.921796,1.13528e-05,1.13039e-05
293.15,0.92098,1.13567e-05,1.13073e-05
293.15,0.920165,1.13606e-05,1.13107e-05
293.15,0.919349,1.13645e-05,1.13141e-05
293.15,0.918534,1.13684e-05,1.13175e-05
293.15,0.917718,1.13723e-05,1.13209e-05
293.15,0.916902,1.13762e-05,1.13243e-05
293.15,0.916087,1.13801e-05,1.13278e-05
293.15,0.915271,1.13841e-05,1.13312e-05
293.15,0.914456,1.1388e-05,1.13346e-05
293.15,0.91364,1.13919e-05,1.1338e-05
293.15,0.912824,1.13958e-05,1.13415e-05
293.15,0.912009,1.13998e-05,1.13449e-05
293.15,0.911193,1.14037e-05,1.13483e-05
293.15,0.910378,1.14076e-05,1.13518e-05
293.15,0.909562,1.14116e-05,1.13552e-05
293.15,0.908746,1.14155e-05,1.13587e-05
293.15,0.907931,1.14194e-05,1.13621e-05
293.15,0.907115,1.14234e-05,1.13656e-05
293.15,0.906299,1.14273e-05,1.1369e-05
293.15,0.905484,1.14313e-05,1.13725e-05
293.15,0.904668,1.14352e-05,1.1376e-05
293.15,0.903853,1.14392e-05,1.13794e-05
293.15,0.903037,1.14431e-05,1.13829e-05
293.15,0.902221,1.14471e-05,1.13864e-05
293.15,0.901406,1.14511e-05,1.13898e-05
293.15,0.90059,1.1455e-05,1.13933e-05
293.15,0.899775,1.1459e-05,1.13968e-05
293.15,0.898959,1.1463e-05,1.14003e-05
293.15,0.898143,1.14669e-05,1.14037e-05
293.15,0.897328,1.14709e-05,1.14072e-05
293.15,0.896512,1.14749e-05,1.14107e-05
293.15,0.895697,1.14789e-05,1.14142e-05
293.15,0.894881,1.14828e-05,1.14177e-05
293.15,0.894065,1.14868e-05,1.14212e-05
293.15,0.89325,1.14908e-05,1.14247e-05
293.15,0.892434,1.14948e-05,1.14282e-05
293.15,0.891618,1.14988e-05,1.14317e-05
293.15,0.890803,1.15028e-05,1.14352e-05
293.15,0.889987,1.15068e-05,1.14387e-05
293.15,0.888885,1.15122e-05,1.14435e-05
293.15,0.887701,1.1518e-05,1.14486e-05
293.15,0.886516,1.15238e-05,1.14537e-05
293.15,0.885332,1.15297e-05,1.14589e-05
293.15,0.884148,1.15355e-05,1.1464e-05
293.15,0.882964,1.15413e-05,1.14691e-05
293.15,0.881779,1.15472e-05,1.14743e-05
293.15,0.880595,1.1553e-05,1.14794e-05
293.15,0.879411,1.15589e-05,1.14846e-05
293.15,0.878226,1.15647e-05,1.14897e-05
293.15,0.877042,1.15706e-05,1.14949e-05
293.15,0.875858,1.15765e-05,1.15001e-05
293.15,0.874674,1.15823e-05,1.15053e-05
293.15,0.873489,1.15882e-05,1.15105e-05
293.15,0.872305,1.15941e-05,1.15156e-05
293.15,0.871121,1.16e-05,1.15208e-05
293.15,0.869936,1.16059e-05,1.15261e-05
293.15,0.868752,1.16118e-05,1.15313e-05
293.15,0.867568,1.16177e-05,1.15365e-05
293.15,0.866384,1.16236e-05,1.15417e-05
293.15,0.865199,1.16295e-05,1.15469e-05
293.15,0.864015,1.16355e-05,1.15522e-05
293.15,0.862831,1.16414e-05,1.15574e-05
293.15,0.861646,1.16473e-05,1.15627e-05
293.15,0.860462,1.16533e-05,1.15679e-05
293.15,0.859278,1.16592e-05,1.15732e-05
293.15,0.858094,1.16652e-05,1.15785e-05
293.15,0.856909,1.16711e-05,1.15837e-05
293.15,0.855725,1.16771e-05,1.1589e-05
293.15,0.854541,1.16831e-05,1.15943e-05
293.15,0.853356,1.16891e-05,1.15996e-05
293.15,0.852172,1.1695e-05,1.16049e-05
293.15,0.850988,1.1701e-05,1.16102e-05
293.15,0.849804,1.1707e-05,1.16155e-05
293.15,0.848619,1.1713e-05,1.16209e-05
293.15,0.847435,1.1719e-05,1.16262e-05
293.15,0.846251,1.1725e-05,1.16315e-05
293.15,0.845067,1.1731e-05,1.16369e-05
293.15,0.843882,1.17371e-05,1.16422e-05
293.15,0.842698,1.17431e-05,1.16476e-05
293.15,0.841514,1.17491e-05,1.16529e-05
293.15,0.840329,1.17552e-05,1.16583e-05
293.15,0.839145,1.17612e-05,1.16637e-05
293.15,0.837961,1.17673e-05,1.16691e-05
293.15,0.836777,1.17733e-05,1.16745e-05
293.15,0.835592,1.17794e-05,1.16799e-05
293.15,0.834408,1.17855e-05,1.16853e-05
293.15,0.833224,1.17915e-05,1.16907e-05
293.15,0.832039,1.17976e-05,1.16961e-05
293.15,0.830855,1.18037e-05,1.17015e-05
293.15,0.829671,1.18098e-05,1.17069e-05
293.15,0.828487,1.18159e-05,1.17124e-05
293.15,0.827302,1.1822e-05,1.17178e-05
293.15,0.826118,1.18281e-05,1.17233e-05
293.15,0.824934,1.18342e-05,1.17287e-05
293.15,0.823667,1.18408e-05,1.17346e-05
293.15,0.822111,1.18488e-05,1.17418e-05
293.15,0.820555,1.18569e-05,1.1749e-05
293.15,0.818999,1.1865e-05,1.17562e-05
293.15,0.817443,1.1873e-05,1.17634e-05
293.15,0.815887,1.18811e-05,1.17706e-05
293.15,0.814331,1.18892e-05,1.17779e-05
293.15,0.812775,1.18973e-05,1.17851e-05
293.15,0.811219,1.19055e-05,1.17924e-05
293.15,0.809663,1.19136e-05,1.17997e-05
293.15,0.808107,1.19218e-05,1.1807e-05
293.15,0.806551,1.19299e-05,1.18143e-05
293.15,0.804996,1.19381e-05,1.18216e-05
293.15,0.80344,1.19462e-05,1.18289e-05
293.15,0.801884,1.19544e-05,1.18363e-05
293.15,0.800328,1.19626e-05,1.18436e-05
293.15,0.798772,1.19708e-05,1.1851e-05
293.15,0.797216,1.19791e-05,1.18584e-05
293.15,0.79566,1.19873e-05,1.18658e-05
293.15,0.794104,1.19955e-05,1.18732e-05
293.15,0.792548,1.20038e-05,1.18806e-05
293.15,0.790992,1.2012e-05,1.1888e-05
293.15,0.789436,1.20203e-05,1.18955e-05
293.15,0.78788,1.20286e-05,1.19029e-05
293.15,0.786324,1.20369e-05,1.19104e-05
293.15,0.784768,1.20452e-05,1.19179e-05
293.15,0.783212,1.20535e-05,1.19254e-05
293.15,0.781656,1.20618e-05,1.19329e-05
293.15,0.7801,1.20702e-05,1.19404e-05
293.15,0.778544,1.20785e-05,1.19479e-05
293.15,0.776988,1.20869e-05,1.19555e-05
293.15,0.775432,1.20952e-05,1.1963e-05
293.15,0.773877,1.21036e-05,1.19706e-05
293.15,0.772321,1.2112e-05,1.19782e-05
293.15,0.770765,1.21204e-05,1.19858e-05
293.15,0.769209,1.21288e-05,1.19934e-05
293.15,0.767653,1.21372e-05,1.2001e-05
293.15,0.766097,1.21457e-05,1.20086e-05
293.15,0.764541,1.21541e-05,1.20163e-05
293.15,0.762985,1.21626e-05,1.20239e-05
293.15,0.761429,1.2171e-05,1.20316e-05
293.15,0.759873,1.21795e-05,1.20393e-05
293.15,0.758317,1.2188e-05,1.2047e-05
293.15,0.756761,1.21965e-05,1.20547e-05
293.15,0.755205,1.2205e-05,1.20624e-05
293.15,0.753649,1.22135e-05,1.20701e-05
293.15,0.752093,1.22221e-05,1.20779e-05
293.15,0.750537,1.22306e-05,1.20856e-05
293.15,0.748981,1.22392e-05,1.20934e-05
293.15,0.747425,1.22477e-05,1.21012e-05
293.15,0.745869,1.22563e-05,1.2109e-05
293.15,0.744313,1.22649e-05,1.21168e-05
293.15,0.742758,1.22735e-05,1.21246e-05
293.15,0.741202,1.22821e-05,1.21325e-05
293.15,0.739646,1.22907e-05,1.21403e-05
293.15,0.73809,1.22994e-05,1.21482e-05
293.15,0.736337,1.23091e-05,1.21571e-05
293.15,0.734485,1.23194e-05,1.21665e-05
293.15,0.732634,1.23297e-05,1.21759e-05
293.15,0.730782,1.23401e-05,1.21853e-05
293.15,0.72893,1.23504e-05,1.21948e-05
293.15,0.727079,1.23608e-05,1.22042e-05
293.15,0.725227,1.23712e-05,1.22137e-05
293.15,0.723376,1.23816e-05,1.22232e-05
293.15,0.721524,1.2392e-05,1.22328e-05
293.15,0.719672,1.24024e-05,1.22423e-05
293.15,0.717821,1.24129e-05,1.22519e-05
293.15,0.715969,1.24233e-05,1.22615e-05
293.15,0.714118,1.24338e-05,1.22711e-05
293.15,0.712266,1.24443e-05,1.22807e-05
293.15,0.710414,1.24548e-05,1.22903e-05
293.15,0.708563,1.24654e-05,1.23e-05
293.15,0.706711,1.24759e-05,1.23097e-05
293.15,0.70486,1.24865e-05,1.23194e-05
293.15,0.703008,1.24971e-05,1.23291e-05
293.15,0.701156,1.25077e-05,1.23389e-05
293.15,0.699305,1.25183e-05,1.23486e-05
293.15,0.697453,1.25289e-05,1.23584e-05
293.15,0.695602,1.25396e-05,1.23682e-05
293.15,0.69375,1.25502e-05,1.23781e-05
293.15,0.691899,1.25609e-05,1.23879e-05
293.15,0.690047,1.25716e-05,1.23978e-05
293.15,0.688195,1.25823e-05,1.24077e-05
293.15,0.686344,1.25931e-05,1.24176e-05
293.15,0.684492,1.26038e-05,1.24275e-05
293.15,0.682641,1.26146e-05,1.24375e-05
293.15,0.680789,1.26254e-05,1.24474e-05
293.15,0.678937,1.26362e-05,1.24574e-05
293.15,0.677086,1.2647e-05,1.24674e-05
293.15,0.675234,1.26578e-05,1.24775e-05
293.15,0.673383,1.26687e-05,1.24875e-05
293.15,0.671531,1.26796e-05,1.24976e-05
293.15,0.66968,1.26905e-05,1.25077e-05
293.15,0.667828,1.27014e-05,1.25178e-05
