YCH4,DavidsonSU2,DavidsonStandalone,WilkeSU2,WilkeStandalone
0.982431173,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.982349694,1.11E-05,1.11E-05,1.11E-05,0.00001107
0.982268214,1.11E-05,0.000011059,1.11E-05,1.11E-05
0.982186735,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.982105255,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.982023776,1.11E-05,0.00001106,1.11E-05,1.11E-05
0.981942296,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.981860816,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.981779337,1.11E-05,0.000011061,1.11E-05,1.11E-05
0.981697857,1.11E-05,1.11E-05,1.11E-05,0.000011073
0.981616378,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.981534898,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.981453478,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.981371999,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.981290519,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.98120904,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.98112756,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.981046081,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980964601,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980883121,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980801642,1.11E-05,1.11E-05,1.11E-05,0.000011077
0.980720162,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980638683,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980557203,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980475724,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980394244,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980312765,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980231285,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.980149806,1.11E-05,1.11E-05,1.11E-05,0.00001108
0.980068326,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.979986846,1.11E-05,0.000011068,1.11E-05,1.11E-05
0.979905367,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.979823887,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.979742408,1.11E-05,0.000011069,1.11E-05,1.11E-05
0.979660928,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.979579508,1.11E-05,1.11E-05,1.11E-05,1.11E-05
0.979498029,1.11E-05,1.11E-05,1.11E-05,0.000011083
